is_canceled,country,market_segment,deposit_type,total_of_special_requests,reservation_status_month,arrival_date_month,lead_time
0,135,3,0,0,7,5,342
0,135,3,0,0,7,5,737
0,59,3,0,0,7,5,7
0,59,2,0,0,7,5,13
0,59,6,0,1,7,5,14
0,135,3,0,0,7,5,0
0,135,3,0,1,7,5,9
1,135,6,0,1,5,5,85
1,135,5,0,0,4,5,75
1,135,6,0,0,6,5,23
0,135,6,0,0,7,5,35
0,169,6,0,3,7,5,68
0,51,6,0,1,7,5,18
0,135,6,0,0,7,5,37
0,76,6,0,3,7,5,68
0,135,5,0,0,7,5,37
0,76,6,0,0,7,5,12
0,56,2,0,0,7,5,0
0,59,3,0,1,7,5,7
0,59,6,0,1,7,5,37
0,135,3,0,1,7,5,72
0,135,3,0,1,7,5,72
0,59,5,0,1,7,5,127
0,135,5,0,0,7,5,78
0,76,5,0,0,7,5,48
1,135,6,0,2,5,5,60
0,135,6,0,0,7,5,77
0,135,6,0,1,7,5,99
0,177,3,0,2,7,5,118
0,59,5,0,0,7,5,95
1,135,3,0,2,5,5,96
0,76,5,0,0,7,5,69
1,135,6,0,1,5,5,45
1,135,6,0,1,6,5,40
0,51,6,0,0,7,5,15
0,135,6,0,1,7,5,36
1,135,6,0,0,5,5,43
0,139,3,0,1,7,5,70
1,135,6,0,0,5,5,45
0,76,5,0,0,7,5,45
0,51,3,0,0,7,5,16
0,135,6,0,2,7,5,107
1,135,6,0,0,6,5,47
0,51,5,0,1,7,5,96
0,124,5,0,2,7,5,113
0,59,5,0,0,7,5,90
0,76,6,0,1,7,5,50
0,124,5,0,2,7,5,113
0,76,5,0,0,7,5,93
0,127,5,0,0,7,5,76
0,51,6,0,0,7,5,3
0,6,6,0,0,7,5,1
0,51,3,0,2,7,5,1
0,135,3,0,0,7,5,0
0,135,6,0,2,7,5,0
0,135,3,0,0,7,5,0
0,169,6,0,1,7,5,14
0,135,6,0,0,7,5,10
0,76,6,0,2,7,5,5
0,51,3,0,1,7,5,17
0,76,5,0,0,7,5,93
1,135,6,0,2,6,5,3
0,169,6,0,0,7,5,10
0,51,6,0,0,7,5,3
0,133,6,0,0,7,5,51
1,135,5,0,2,6,5,71
1,135,6,0,2,6,5,63
1,135,6,0,1,7,5,62
1,135,6,0,1,6,5,101
0,135,5,0,0,7,5,2
0,51,6,0,0,7,5,15
1,135,6,0,0,6,5,51
0,51,6,0,0,7,5,3
1,135,6,0,0,5,5,48
0,135,6,0,0,7,5,2
0,43,5,0,0,7,5,72
0,135,5,0,0,7,5,81
0,56,5,0,0,7,5,99
1,135,5,0,0,5,5,368
0,59,5,0,0,7,5,364
1,135,3,0,1,6,5,81
0,59,5,0,0,7,5,99
0,59,5,0,0,7,5,324
0,59,6,0,1,7,5,69
1,135,5,0,2,4,5,79
0,59,6,0,0,7,5,12
0,135,6,0,2,7,5,9
0,51,6,0,1,7,5,1
0,135,6,0,0,7,5,21
0,169,6,0,0,7,5,9
0,15,6,0,2,7,5,109
1,135,6,0,1,5,5,109
1,135,6,0,1,6,5,72
1,135,6,0,1,5,5,63
0,51,5,0,1,7,5,63
0,135,6,0,2,7,5,101
0,43,3,0,0,7,5,102
0,51,3,0,1,7,5,4
0,56,5,0,0,7,5,98
0,56,5,0,2,7,5,92
0,135,6,0,2,7,5,95
0,135,6,0,1,7,5,102
1,135,6,0,0,6,5,26
1,135,3,0,1,5,5,73
1,135,6,0,1,4,5,102
0,135,5,0,1,7,5,115
0,135,6,0,2,7,5,102
0,29,6,0,2,7,5,86
0,135,6,0,2,7,5,78
0,59,6,0,0,7,5,52
0,135,6,0,1,7,5,29
1,135,6,0,1,5,5,101
0,135,6,0,1,7,5,109
0,59,5,0,1,7,5,92
0,135,5,0,1,7,5,92
0,135,3,0,1,7,5,79
0,135,6,0,0,7,5,2
0,135,5,0,0,7,5,30
1,135,6,0,0,5,5,51
1,135,3,0,0,7,5,36
1,135,6,0,2,5,5,73
1,135,6,0,0,6,5,33
0,135,1,0,1,7,5,32
0,51,6,0,0,7,5,8
0,56,6,0,1,7,5,100
0,135,6,0,0,7,5,1
0,56,6,0,2,7,5,100
0,56,6,0,1,7,5,100
0,51,6,0,1,7,5,9
1,135,6,0,0,7,5,5
0,51,6,0,0,7,5,0
0,43,6,0,0,7,5,9
0,135,6,0,0,7,5,2
0,135,6,0,0,7,5,2
0,43,6,0,0,7,5,9
0,135,3,0,1,7,5,2
0,135,6,0,0,7,5,44
0,56,6,0,0,7,5,80
0,51,6,0,2,7,5,97
0,34,5,0,2,7,5,109
0,51,6,0,0,7,5,30
0,135,6,0,0,7,5,64
0,51,6,0,0,7,5,39
0,135,6,0,0,7,5,90
1,135,6,0,0,6,5,34
1,135,5,0,0,5,5,93
0,135,3,0,1,7,5,97
0,76,6,0,1,7,5,29
1,135,6,0,1,3,5,101
0,51,5,0,0,7,5,27
0,29,6,0,1,7,5,8
0,135,5,0,2,7,5,82
0,135,3,0,1,7,5,94
0,59,5,0,0,7,5,110
0,59,5,0,0,7,5,96
0,59,5,0,0,7,5,79
0,135,6,0,0,7,5,115
0,135,6,0,2,7,5,111
0,169,6,0,2,7,5,51
0,34,5,0,1,7,5,94
0,29,3,0,0,7,5,81
0,135,6,0,2,7,5,84
0,169,6,0,2,7,5,51
0,135,6,0,2,7,5,111
0,135,3,0,0,7,5,0
0,135,3,0,0,7,5,2
0,135,6,0,2,7,5,7
0,169,6,0,1,7,5,98
0,66,6,0,1,7,5,95
1,135,6,0,0,6,5,48
0,135,5,0,0,7,5,66
0,135,6,0,1,7,5,104
0,135,6,0,0,7,5,28
0,135,3,0,0,7,5,34
0,51,6,0,1,7,5,98
0,135,6,0,0,7,5,104
0,135,6,0,0,7,5,68
1,135,5,0,1,6,5,86
0,59,5,0,0,7,5,258
0,135,6,0,1,7,5,111
1,135,6,0,0,5,5,94
0,59,5,0,1,7,5,112
0,59,5,0,1,7,5,100
0,135,3,0,1,7,5,33
0,59,5,0,2,7,5,97
0,56,3,0,0,7,5,80
0,81,5,0,0,7,5,90
0,59,5,0,0,7,5,111
0,135,5,0,0,7,5,65
1,135,6,0,1,5,5,67
0,51,6,0,2,7,5,55
0,135,3,0,1,7,5,21
0,135,3,0,1,7,5,8
0,135,6,0,1,7,5,8
0,59,6,0,3,7,5,0
0,135,3,0,0,7,5,0
0,51,6,0,1,7,5,8
0,135,6,0,2,7,5,66
0,169,5,0,1,7,5,88
0,123,3,0,0,7,5,0
1,135,5,0,0,5,5,43
1,135,6,0,2,4,5,88
0,76,5,0,0,7,5,54
1,135,5,0,0,3,5,292
0,76,5,0,1,7,5,112
0,59,6,0,1,7,5,68
0,135,6,0,2,7,5,7
0,51,6,0,1,7,5,1
1,135,6,0,1,5,5,113
0,51,6,0,1,7,5,5
0,135,5,0,1,7,5,83
1,135,6,0,1,6,5,105
0,135,5,0,0,7,5,0
1,135,2,0,1,7,5,1
0,29,2,0,1,7,5,1
1,135,3,0,1,5,5,102
0,135,3,0,1,7,5,113
1,135,5,0,1,4,5,280
0,59,6,0,1,7,5,96
0,59,5,0,0,7,5,394
0,135,6,0,0,7,5,33
0,76,3,0,1,7,5,82
0,46,6,0,3,7,5,100
0,46,6,0,2,7,5,100
0,135,6,0,3,7,5,17
0,6,3,0,1,7,5,68
0,135,3,0,0,7,5,12
1,135,3,0,0,6,5,77
1,135,6,0,1,6,5,24
1,135,6,0,0,6,5,44
0,135,6,0,2,7,5,78
1,135,6,0,0,6,5,17
1,135,6,0,0,6,5,103
0,140,3,0,1,7,5,16
0,154,6,0,1,7,5,14
0,133,5,0,0,7,5,77
0,56,5,0,0,7,5,90
0,59,5,0,0,7,5,90
0,59,5,0,0,7,5,90
0,59,5,0,0,7,5,366
0,135,6,0,1,7,5,249
1,135,6,0,2,5,5,69
0,169,3,0,0,7,5,10
0,135,6,0,0,7,5,22
0,135,6,0,1,7,5,91
0,135,6,0,0,7,5,23
0,135,6,0,1,7,5,11
0,135,6,0,1,7,5,3
0,135,6,0,1,7,5,13
0,135,6,0,2,7,5,108
0,59,6,0,1,7,5,37
0,11,3,0,1,7,5,21
0,59,6,0,2,7,5,106
0,135,3,0,1,7,5,30
1,135,6,0,0,6,5,51
0,133,6,0,2,7,5,79
0,135,3,0,3,7,5,21
0,52,6,0,0,7,5,35
0,135,6,0,2,7,5,78
0,135,3,0,1,7,5,31
0,135,6,0,2,7,5,78
0,135,6,0,2,7,5,78
0,140,5,0,0,7,5,44
0,59,6,0,3,7,5,34
0,135,5,0,2,7,5,87
0,135,3,0,0,7,5,11
0,76,6,0,2,7,5,115
0,135,6,0,0,7,5,86
0,59,6,0,0,7,5,41
0,46,6,0,0,7,5,32
0,59,6,0,3,7,5,34
0,59,6,0,1,7,5,34
1,135,5,0,0,5,5,100
0,51,6,0,0,7,5,44
0,135,3,0,1,7,5,304
1,135,6,0,0,6,5,36
0,135,5,0,1,7,5,117
0,51,6,0,2,7,5,70
0,135,3,0,1,7,5,110
1,135,6,0,1,4,5,109
0,59,6,0,1,7,5,33
0,135,6,0,0,7,5,33
0,42,6,0,0,7,5,33
0,59,3,0,0,7,5,0
0,43,6,0,1,7,5,0
0,51,3,0,0,7,5,0
0,51,6,0,1,7,5,0
0,135,2,0,0,7,5,84
0,51,5,0,0,7,5,71
0,139,6,0,1,7,5,16
0,135,6,0,0,7,5,54
0,51,6,0,0,7,5,8
0,135,5,0,0,7,5,36
0,135,6,0,0,7,5,40
1,135,6,0,2,5,5,59
0,135,3,0,0,7,5,79
0,135,6,0,0,7,5,32
0,135,3,0,1,7,5,110
0,135,6,0,0,7,5,33
0,34,6,0,0,7,5,53
0,135,6,0,2,7,5,2
0,135,6,0,2,7,5,8
1,135,6,0,2,5,5,72
0,59,6,0,0,7,5,12
0,25,5,0,1,7,5,48
0,135,5,0,1,7,5,90
0,51,5,0,1,7,5,34
1,135,3,0,1,6,5,58
0,59,5,0,0,7,5,59
0,135,5,0,2,7,5,90
0,135,5,0,0,7,5,116
0,59,5,0,0,7,5,31
1,135,6,0,0,7,5,51
0,59,5,0,1,7,5,48
0,51,6,0,2,7,5,59
1,135,6,0,1,6,5,97
0,56,6,0,2,7,5,12
0,135,6,0,1,7,5,64
0,59,5,0,0,7,5,31
0,59,5,0,1,7,5,59
1,135,5,0,1,7,5,55
0,59,5,0,0,7,5,81
0,135,6,0,0,7,5,1
0,15,6,0,1,7,5,34
0,51,6,0,0,7,5,13
0,56,6,0,0,7,5,40
0,51,6,0,1,7,5,1
0,15,6,0,1,7,5,34
0,81,5,0,0,7,5,88
0,51,6,0,3,7,5,9
1,135,6,0,0,6,5,24
0,56,5,0,0,7,5,97
0,54,6,0,2,7,5,60
0,34,3,0,1,7,5,100
0,51,5,0,0,7,5,50
1,135,6,0,0,7,5,47
0,76,6,0,1,7,5,8
0,51,6,0,0,7,5,34
0,51,6,0,0,7,5,47
0,135,5,0,2,7,5,115
1,135,6,0,1,5,5,79
0,59,6,0,0,7,5,91
0,51,6,0,3,7,5,98
0,51,6,0,1,7,5,109
0,11,6,0,0,7,5,0
0,135,3,0,0,7,5,0
0,51,6,0,2,7,5,9
0,51,6,0,2,7,5,62
1,135,6,0,0,6,5,45
0,169,6,0,0,7,5,42
0,135,6,0,1,7,5,54
0,51,6,0,0,7,5,51
0,135,6,0,1,7,5,54
0,51,3,0,1,7,5,58
0,135,2,0,0,7,5,0
1,135,5,0,0,6,5,60
1,135,3,0,1,3,5,321
0,51,3,0,2,7,5,40
1,135,5,0,0,5,5,51
0,135,3,0,0,7,5,38
1,135,6,0,1,6,5,75
0,135,6,0,0,7,5,101
1,135,6,0,0,6,5,42
0,135,3,0,1,7,5,109
1,135,6,0,2,4,5,81
1,135,6,0,0,5,5,98
0,135,5,0,0,7,5,32
0,56,6,0,2,7,5,72
0,135,5,0,2,7,5,115
0,135,3,0,1,7,5,118
0,51,3,0,2,7,5,81
1,135,6,0,1,4,5,95
0,139,6,0,3,7,5,16
0,51,6,0,0,7,5,56
0,54,5,0,0,7,5,88
0,59,6,0,2,7,5,41
1,135,5,0,0,7,5,40
0,135,2,0,0,7,5,1
0,135,6,0,1,7,5,1
0,135,6,0,1,7,5,1
1,135,6,0,2,5,5,76
0,51,6,0,1,7,5,0
0,133,6,0,2,7,5,49
0,135,3,0,0,7,5,76
0,135,3,0,1,7,5,73
0,135,3,0,2,7,5,73
0,135,3,0,2,7,5,317
1,135,6,0,1,4,5,112
0,51,6,0,2,7,5,6
0,51,6,0,1,7,5,8
1,135,5,0,1,4,5,96
1,135,6,0,1,4,5,96
0,76,3,0,1,7,5,99
0,76,6,0,0,7,5,66
0,154,6,0,2,7,5,38
0,154,6,0,2,7,5,38
0,135,3,0,3,7,5,113
0,135,2,0,0,7,5,0
1,135,5,0,0,7,5,62
1,135,6,0,0,6,5,39
0,133,6,0,0,7,5,37
1,135,6,0,0,6,5,58
0,59,6,0,0,7,5,37
0,135,4,0,0,7,5,57
0,135,4,0,0,7,5,57
0,135,4,0,0,7,5,57
0,59,6,0,1,7,5,83
0,135,4,0,0,7,5,57
0,135,4,0,0,7,5,57
1,135,4,0,0,7,5,57
0,135,4,0,0,7,5,57
0,135,4,0,0,7,5,57
0,135,4,0,0,7,5,57
0,135,4,0,0,7,5,57
1,135,6,0,1,7,5,66
0,46,6,0,1,7,5,13
0,54,6,0,0,7,5,50
1,135,3,0,0,6,5,48
1,135,6,0,0,7,5,0
0,169,6,0,1,7,5,7
0,135,3,0,0,7,5,0
1,135,6,0,1,7,5,66
0,135,6,0,1,7,5,13
0,46,6,0,1,7,5,66
0,51,3,0,0,7,5,10
1,135,3,0,0,7,5,10
1,135,6,0,0,6,5,58
1,135,6,0,0,6,5,17
0,51,6,0,1,7,5,19
0,76,3,0,1,7,5,10
1,135,3,0,0,7,5,12
0,76,3,0,1,7,5,10
0,135,6,0,1,7,5,63
1,135,6,0,0,6,5,35
0,135,6,0,1,7,5,113
1,135,6,0,0,6,5,35
0,59,5,0,0,7,5,68
0,135,5,0,0,7,5,113
0,135,3,0,0,7,5,21
0,135,6,0,1,7,5,6
0,135,3,0,1,7,5,7
0,135,6,0,2,7,5,17
0,135,6,0,0,7,5,1
0,135,5,0,0,7,5,2
1,135,6,0,1,7,5,15
1,135,3,0,1,7,5,7
0,51,6,0,0,7,5,11
1,135,6,0,1,7,5,6
0,135,3,0,0,7,5,1
0,51,3,0,0,7,5,1
0,135,5,0,0,7,5,48
0,135,6,0,1,7,5,15
1,135,5,0,0,7,5,3
1,135,6,0,1,7,5,23
0,135,5,0,0,7,5,53
0,135,5,0,0,7,5,53
0,51,3,0,0,7,5,94
0,135,5,0,1,7,5,64
0,135,5,0,0,7,5,53
0,135,5,0,0,7,5,53
0,135,3,0,1,7,5,24
0,135,6,0,0,7,5,24
0,51,3,0,0,7,5,23
0,76,6,0,2,7,5,53
1,135,3,0,0,6,5,23
0,135,6,0,3,7,5,90
0,135,6,0,2,7,5,79
0,59,5,0,0,7,5,43
0,51,6,0,2,7,5,65
0,51,6,0,2,7,5,65
0,56,3,0,1,7,5,99
0,51,3,0,2,7,5,25
0,113,6,0,3,7,5,92
0,27,6,0,3,7,5,91
0,135,6,0,1,7,5,38
0,59,5,0,0,7,5,6
0,51,6,0,0,7,5,38
0,43,6,0,2,7,5,13
1,135,6,0,0,6,5,32
0,76,5,0,0,7,5,315
0,59,6,0,2,7,5,8
1,135,3,0,0,7,5,0
0,113,6,0,3,7,5,91
0,51,6,0,1,7,5,3
0,135,3,0,1,7,5,9
0,51,6,0,2,7,5,19
0,135,3,0,0,7,5,25
0,100,6,0,2,7,5,108
1,135,6,0,0,7,5,37
0,135,6,0,0,7,5,45
0,135,3,0,1,7,5,64
0,135,3,0,0,7,5,44
0,135,6,0,0,7,5,26
1,135,6,0,0,4,5,96
1,135,6,0,2,6,5,123
1,135,6,0,0,6,5,42
0,135,5,0,0,7,5,59
0,59,6,0,1,7,5,28
0,135,3,0,2,7,5,106
0,135,3,0,1,7,5,1
0,135,3,0,0,7,5,0
0,135,6,0,0,7,5,4
0,34,3,0,1,7,5,3
0,135,3,0,2,7,5,73
0,51,6,0,0,7,5,44
0,135,5,0,0,7,5,95
0,135,3,0,1,7,5,94
1,135,5,0,2,6,5,40
0,135,3,0,1,7,5,64
0,51,5,0,1,7,5,57
1,135,6,0,0,6,5,60
0,76,6,0,0,8,5,87
0,135,3,0,0,7,5,0
0,135,6,0,0,7,5,0
0,123,3,0,0,7,5,6
0,135,6,0,0,7,5,0
0,135,6,0,1,7,5,19
0,135,6,0,2,7,5,4
1,135,6,0,0,5,5,59
0,135,3,0,0,7,5,44
1,135,6,0,0,6,5,37
0,135,3,0,1,7,5,66
1,135,5,0,0,6,5,38
1,135,5,0,1,6,5,62
0,51,6,0,1,7,5,41
1,135,6,0,0,5,5,60
0,59,5,0,1,7,5,104
0,140,6,0,2,7,5,117
1,135,6,0,0,6,5,31
0,76,5,0,0,7,5,34
0,135,6,0,1,7,5,47
1,135,6,0,0,6,5,24
1,135,6,0,2,7,5,104
0,76,5,0,0,7,5,32
1,135,6,0,0,7,5,47
0,59,5,0,0,7,5,29
0,59,5,0,2,8,5,30
0,51,6,0,1,7,5,123
0,135,5,0,0,7,5,14
1,135,6,0,2,5,5,118
0,135,5,0,0,7,5,0
0,135,6,0,1,7,5,0
0,135,6,0,3,7,5,79
0,135,6,0,0,7,5,63
0,133,6,0,2,7,5,68
0,135,3,0,0,7,5,96
1,135,6,0,1,6,5,41
0,124,6,0,0,7,5,46
1,135,6,0,0,6,5,60
0,51,5,0,0,7,5,41
1,135,6,0,0,6,5,69
1,135,6,0,1,6,5,41
0,135,3,0,0,7,5,52
1,135,6,0,1,6,5,41
0,59,5,0,1,7,5,89
1,135,3,0,0,7,5,28
0,59,6,0,0,7,5,65
0,135,6,0,3,7,5,82
0,51,5,0,0,7,5,42
0,51,6,0,1,7,5,62
1,135,3,0,1,5,5,86
1,135,6,0,1,4,5,118
0,135,5,0,1,7,5,28
1,135,5,0,0,6,5,52
1,135,5,0,0,6,5,49
0,135,5,0,1,7,5,39
0,135,5,0,1,7,5,39
1,135,5,0,0,7,5,7
1,135,6,0,0,7,5,42
0,135,2,0,0,7,5,5
1,135,6,0,2,6,5,81
1,135,6,0,0,6,5,63
0,135,6,0,0,7,5,61
0,135,3,0,0,7,5,8
0,135,3,0,1,7,5,89
0,76,6,0,0,7,5,57
0,29,5,0,1,7,5,102
0,135,6,0,1,7,5,108
0,76,3,0,1,7,5,28
0,59,6,0,1,7,5,29
0,51,3,0,0,7,5,0
1,135,6,0,1,4,5,96
1,135,6,0,1,6,5,44
0,56,6,0,1,7,5,44
1,135,6,0,1,6,5,44
1,135,6,0,0,6,5,41
0,135,6,0,0,7,5,16
0,135,6,0,1,7,5,73
0,135,6,0,1,7,5,3
0,135,3,0,0,7,5,0
1,135,3,0,0,6,5,55
0,51,6,0,1,7,5,33
1,135,6,0,0,7,5,19
1,135,6,0,0,6,5,55
0,51,6,0,1,7,5,33
1,135,6,0,0,7,5,19
1,135,3,0,0,7,5,19
0,34,5,0,0,7,5,117
1,135,6,0,0,7,5,72
1,135,6,0,0,7,5,19
0,139,5,0,1,7,5,34
0,51,6,0,2,7,5,9
0,25,6,0,2,7,5,8
1,135,3,0,0,7,5,36
0,51,6,0,2,7,5,22
0,51,6,0,2,7,5,22
0,135,6,0,0,7,5,36
1,135,6,0,2,7,5,22
0,51,3,0,0,7,5,18
1,135,6,0,1,7,5,67
1,135,5,0,0,7,5,105
0,140,6,0,0,7,5,1
0,51,5,0,0,7,5,39
1,135,6,0,0,6,5,45
1,135,6,0,0,6,5,45
0,153,6,0,1,7,5,14
1,135,6,0,0,6,5,53
0,3,5,0,0,7,5,28
0,59,6,0,1,7,5,55
0,135,3,0,0,7,5,25
1,135,5,0,1,7,5,43
1,135,6,0,2,4,5,109
1,135,6,0,0,5,5,62
0,135,3,0,2,8,5,25
0,51,6,0,0,8,5,43
0,59,5,0,0,8,5,35
1,135,5,0,0,6,5,42
